"Sample1"	"Sample2"	"Sample3"	"Sample4"	"Sample5"	"Sample6"	"Sample7"	"Sample8"	"Sample9"	"Sample10"	"Sample11"	"Sample12"	"Sample13"	"Sample14"	"Sample15"	"Sample16"	"Sample17"	"Sample18"	"Sample19"	"Sample20"	"Sample21"	"Sample22"	"Sample23"	"Sample24"	"Sample25"	"Sample26"	"Sample27"	"Sample28"	"Sample29"	"Sample30"	"Sample31"	"Sample32"	"Sample33"	"Sample34"	"Sample35"	"Sample36"	"Sample37"	"Sample38"	"Sample39"	"Sample40"	"Sample41"	"Sample42"	"Sample43"	"Sample44"	"Sample45"	"Sample46"	"Sample47"	"Sample48"	"Sample49"	"Sample50"
"Feature27"	29698	251	0	3256	0	2100	1424	177	842	203	0	16	0	660	0	7921	3537	283	537	0	1514	0	3709	64	0	217	0	0	12477	134	467	0	0	11093	0	2612	148	891	891	14	47	0	0	0	87971	13	0	2942	0	5458
"Feature28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature31"	1	0	0	0	0	9	0	0	0	0	0	0	0	10	0	0	0	0	0	0	3	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	4	0	0	0	0	0	0	0	0
"Feature32"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0
"Feature33"	35	103	0	29	0	91	13	0	0	1	52	0	312	52	317	10	0	3	50	6	213	1	0	0	1	3	152	27	0	3	15	299	19	17	113	9	0	0	14	0	0	0	0	0	0	0	0	3	7	172
"Feature34"	91	0	0	0	0	65	0	0	1	0	3	0	0	0	0	11	0	0	0	0	1	191	1	0	0	3	0	4	26	0	0	1	0	0	12	0	0	0	3	0	0	0	0	0	0	0	0	0	3	67
"Feature35"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature36"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	6	1	0	0	0	5	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	28
"Feature37"	0	0	0	0	1	9	3	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	8	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0
"Feature38"	0	0	0	0	2	0	0	1	0	0	0	0	0	0	52	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature39"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	32	0	0	0	14	0
"Feature40"	0	0	0	200	0	0	2675	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0
"Feature41"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature42"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature43"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature44"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature45"	4	0	0	0	0	0	3	0	0	0	0	0	3	0	0	1	2	0	0	0	1	15	0	0	0	0	10	1	10	0	0	65	0	2	36	0	0	0	0	0	0	0	0	0	118	0	0	1	0	68
"Feature46"	0	7	2	0	0	0	112	0	0	0	605	0	0	0	0	0	0	10	15	15	0	0	0	0	0	25	0	0	0	4	0	0	0	211	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"Feature47"	0	0	24804	0	0	0	0	24571	4488	95279	0	237	13967	1541	0	0	14069	2469	8	51	0	0	0	400	757	0	16802	0	0	0	2889	0	0	89171	0	0	0	0	0	0	5720	31209	15	617385	21104	7296	0	4950	0	0
"Feature48"	5123	256	0	43983	32609	5445	0	0	41335	955	0	63341	0	0	1057	22996	8	10	306	0	118256	3990	123	12095	643	403299	14653	2	0	164674	22202	0	41651	0	0	5466	69228	6021	12584	0	1864	0	128026	209	6361	0	0	0	0	308
"Feature49"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	14	0	0	0	0	0	6	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	548	0	0	0	0	0	0	0	0
"Feature50"	21	33	0	0	14	0	0	1	53	0	46	0	13	194	0	8	64	7	1	0	0	80	0	0	38	64	10	3	95	40	6	139	25	117	51	0	0	0	8	0	0	36	0	25	1229	0	0	5	0	1276
"Feature51"	5	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	12	0	1	0	4	0	0	0	0	0	0	0	0	1	0	8	0	0	0	1	2	0
"Feature52"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature53"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature54"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature55"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0
"Feature56"	0	0	0	0	0	14	61	0	0	0	0	3	0	31	0	0	16	0	63	0	0	0	23478	2	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	0	75	0	0	0	0	0	0	0	0	0
"Feature57"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0
"Feature58"	0	0	4	0	0	0	0	0	0	0	0	4	168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0
"Feature59"	0	0	0	0	0	3805	0	0	2	0	0	0	0	0	7114	0	0	3	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	279	0	7	22	0	0	0	0	0	0	0	800	0
"Feature60"	463	40	0	87	0	0	0	0	0	51	0	0	0	73	0	0	35	11	0	0	4	0	16	0	0	3	0	8	621	15	0	0	0	21	0	88	1	0	54	0	0	0	0	0	0	0	0	67	248	1043
"Feature61"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature62"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature63"	2541	0	11	0	0	621	349	0	484	34	385	0	0	6172	12250	826	0	0	0	0	0	678	243	0	3926	384	101	0	2338	0	0	0	16692	0	0	2427	114	0	0	0	49	535	0	0	2196	0	0	0	0	0
"Feature64"	40	64	0	7	20	24	137	3	0	0	10	0	0	0	0	99	0	0	0	0	4	73	3	0	0	1	0	501	1462	5	0	14	4363	0	3	8	4	70	0	0	0	0	0	0	0	0	0	0	0	829
"Feature65"	0	0	0	0	0	1379	0	0	0	0	0	0	10	0	0	0	0	0	2	0	0	0	0	0	0	0	0	120	0	0	0	0	345	0	68	0	0	0	0	0	0	0	0	5	75	0	0	0	0	1718
"Feature66"	0	1	0	0	0	0	6	0	0	0	0	0	3	13	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
"Feature67"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature68"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature69"	0	0	2	0	0	0	0	0	30	0	6	0	0	0	378	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	114
"Feature70"	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature71"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature72"	0	0	0	7	0	0	0	0	0	2	0	0	0	39	0	0	164	0	0	0	0	2497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	1	0	0
"Feature73"	0	0	0	0	0	0	0	0	2	0	0	0	0	1	9	0	1	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature74"	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature75"	0	0	34	734	0	232	0	0	19	20	298	0	129	1182	12789	603	0	366	0	0	0	0	0	0	648	199	44	0	4509	0	61	0	1119	547	0	0	34	55	33	0	0	158	0	1905	0	1	0	242	102	0
"Feature76"	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	28
"Feature77"	70	3	0	0	2	7	0	0	0	0	0	0	0	170	2201	14	1	0	22	0	0	0	14	177	3	15	6	0	0	27	7	0	7	139	0	1430	7	1209	3	0	0	0	11	3090	0	0	0	0	0	0
"Feature78"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"Feature79"	237	0	0	0	0	164	0	33	150	0	0	0	0	196	0	0	13	0	0	0	0	0	131	8	24	29	0	0	0	0	3	0	0	26	49	0	0	41	137	1	0	96	0	609	0	1	0	0	10	0
"Feature80"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0
"Feature81"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
"Feature82"	0	20	6	0	48096	302	35	0	0	712	0	0	0	0	302	92297	8637	1575	84	63334	609	0	67	0	1903	179	91	0	0	304	0	0	16	2035	0	198	0	0	0	0	0	0	3	0	0	10237	35	0	0	0
"Feature83"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"Feature84"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	431	0
"Feature85"	72	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	387	1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	21	0
"Feature86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26943	0	0	0	0	0	9935	29534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2641	0	0	0	0	0
"Feature87"	0	0	0	16	40	0	0	0	0	0	0	0	0	0	28	16	0	0	1	0	4	0	0	2	14	201	0	0	2	0	1	0	0	0	0	24	1	7	0	0	1	4	0	20	8	0	0	0	1	2
"Feature88"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature89"	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature90"	0	0	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47
"Feature91"	395	1	0	0	16	32	32	3	1	1	4	0	5	79	6170	63	2	10	1	22	150	2	16	2	8	1	16	4	0	2	6	249	39	577	182	903	1	78	16	0	1	26	1	6	100	0	0	11	6	389
"Feature92"	61	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	8	0	0	0	0	0	0	0	3	0	0	0	0	0	0	4	0
"Feature93"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature94"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature95"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0	54
"Feature96"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature97"	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	161	0	0	0	0	0	0	0	0	378	0	0	983	0	0	0	0	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0
"Feature98"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
"Feature99"	57	69810	3655	1	429	0	17406	0	6	2402	1803	135	767	0	2004	39	440	7879	35175	2202	0	10	0	0	0	556	1003	0	1	2288	0	0	1140	7878	0	15	6	1	0	0	0	0	3	5	71536	0	12296	0	0	0
"Feature100"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Feature101"	29825	3294	225	6193	1389	21083	18579	403	3422	1089	8886	21	8068	26415	102388	4397	11926	2709	2155	555	6066	13702	7377	1194	4685	3206	2453	3257	83939	1187	1634	19928	21977	24205	23625	11362	474	15135	6317	81	187	16360	406	9807	218570	71	26	5605	9824	104022
