"Metadata_1"	"Metadata_2"	"Metadata_3"	"Metadata_4"	"Metadata_5"	"ID"
"Sample36"	1	0	-0.581250315538112	0.295125171326843	0	"Subject36"
"Sample37"	0	1	-0.832351070877253	0.236753695327857	1	"Subject37"
"Sample38"	1	0	-1.00829833121434	0.730729914745308	0	"Subject38"
"Sample39"	1	1	-1.0265297109053	0.329643360562227	1	"Subject39"
"Sample40"	0	1	-0.249246498812197	1.86006736843056	0	"Subject40"
"Sample41"	0	0	-0.947003263891028	-0.956802658713782	1	"Subject41"
"Sample42"	0	0	-0.580470326674667	0.703216939112684	1	"Subject42"
"Sample43"	1	1	-0.256882617212463	1.13671909835456	1	"Subject43"
"Sample44"	0	1	-0.138524576981387	0.850658211401129	1	"Subject44"
"Sample45"	0	0	0.118335562937365	0.813050898399242	0	"Subject45"
"Sample46"	0	1	-0.360626142254558	0.702115350755248	1	"Subject46"
"Sample47"	0	0	0.952714243722285	0.438005557834518	1	"Subject47"
"Sample48"	0	0	0.633760731611428	0.63884391455147	0	"Subject48"
"Sample49"	0	1	-1.30421661402109	1.56828441216526	1	"Subject49"
"Sample50"	0	0	-0.293402328790306	1.06799957612218	1	"Subject50"
"Sample51"	1	0	0.30326225373895	0.476198484481133	0	"Subject51"
"Sample52"	1	1	0.0295941835263965	-0.252565043815517	0	"Subject52"
"Sample53"	1	0	-1.03316104658534	-0.480977499606428	1	"Subject53"
"Sample54"	1	1	0.415754221895033	-0.453196071930124	1	"Subject54"
"Sample55"	0	1	1.04457303665551	-0.927870827697189	1	"Subject55"
"Sample56"	1	1	2.36218122416327	0.552736666510269	0	"Subject56"
"Sample57"	1	0	-1.31451401090647	1.03041889087461	0	"Subject57"
"Sample58"	0	0	0.118760755237431	-0.286243789182163	0	"Subject58"
"Sample59"	0	1	-0.414468894032903	1.41133065643902	1	"Subject59"
"Sample60"	1	1	1.34663746263161	-0.89597696789807	0	"Subject60"
"Sample61"	0	1	0.9404595357213	0.19010891477212	0	"Subject61"
"Sample62"	0	0	-0.730142874782018	0.278193561382594	0	"Subject62"
"Sample63"	1	0	-0.0468457474413588	-0.0868753538427034	1	"Subject63"
"Sample64"	1	1	0.702861977895104	-0.582190098087923	1	"Subject64"
"Sample65"	0	1	-0.519218379812918	1.43075529299387	1	"Subject65"
"Sample66"	0	0	-0.581484185160291	-0.355899666633256	0	"Subject66"
"Sample67"	1	1	-0.0926490969191718	-1.80347187989973	0	"Subject67"
"Sample68"	1	0	1.07984679069035	1.25530078524228	1	"Subject68"
"Sample69"	1	0	1.09178775786999	1.00503571536658	0	"Subject69"
"Sample70"	1	1	0.0416100670105772	-0.639518844428469	0	"Subject70"
"Sample71"	0	0	-0.471181116182137	-0.778365985564535	0	"Subject71"
"Sample72"	0	0	2.16889614534713	0.113057747354727	0	"Subject72"
"Sample73"	0	0	-0.502984662408046	0.173598367919737	1	"Subject73"
"Sample74"	1	1	-0.477561909570699	0.472562507666403	0	"Subject74"
"Sample75"	0	1	-0.92092607750285	1.63033584579161	1	"Subject75"
"Sample76"	1	0	-0.0921402707123517	0.601228791425543	1	"Subject76"
"Sample77"	1	0	-0.0568071333409359	-0.562484688658147	1	"Subject77"
"Sample78"	0	1	-1.40922035110558	0.235079914418936	1	"Subject78"
"Sample79"	0	0	-0.283507059456011	1.1496410526001	0	"Subject79"
"Sample80"	0	0	1.20377540847123	0.159147773332348	1	"Subject80"
"Sample81"	1	0	-0.876874298302317	0.16653641779276	1	"Subject81"
"Sample82"	0	0	0.885144271750119	-2.04662502290008	1	"Subject82"
"Sample83"	1	0	1.31256737658955	1.21358065503814	0	"Subject83"
"Sample84"	1	1	1.13278883342005	-0.667258628378204	0	"Subject84"
"Sample85"	0	0	-0.45236490367328	1.29456995689976	1	"Subject85"
"Sample86"	1	0	-1.10601381468496	-0.353365985285868	0	"Subject86"
"Sample87"	0	1	-1.79101476298411	0.725791330777568	1	"Subject87"
"Sample88"	0	0	1.04769558631778	-0.132333398933989	0	"Subject88"
"Sample89"	0	0	-0.464525344813441	-0.655321409880443	1	"Subject89"
"Sample90"	1	1	-1.03822072122799	-0.953986468215229	0	"Subject90"
"Sample91"	0	1	0.429730986437319	-0.204256400512106	1	"Subject91"
"Sample92"	0	1	-0.137480329724345	-1.28810091744699	0	"Subject92"
"Sample93"	1	0	1.94826481665377	-1.09125771185118	1	"Subject93"
"Sample94"	1	1	0.154540810529346	-0.922122462584411	1	"Subject94"
"Sample95"	1	1	0.771821597315418	-1.83975575971461	0	"Subject95"
"Sample96"	1	0	1.60787691157246	-0.597376497123626	0	"Subject96"
"Sample97"	1	0	-0.452119579824427	1.76900717465132	1	"Subject97"
"Sample98"	0	0	-0.859485720082468	-1.19771275463146	0	"Subject98"
"Sample99"	1	0	0.341877725332942	-1.12214385239395	0	"Subject99"
"Sample100"	0	0	-0.937317259807742	0.882399460702761	0	"Subject100"
